RIP	NCOMP	PADRENATO	MADRENATO	FIGLIOUT	LAVO1	LAVO2	LAVPAS	DIPEND	POSDIP	ATECO	PUBPRIV	CONTRLAV	LAVTER	REGIME	MOTPARTIME	CARICOLAV	CONDIZUD	DIFFLAV	DIFFGUAD	DIFFCARR	DIFFSTAB	DIFFCONS	UOMOPRIMA	UOMOSOLDI	UOMODECIDE	NODONNASUP	PIUDIRIG	FAMOSTACOLO	PIUDONNE	DIVISIONEFAM	INADATTI	PIUCURA	D_DISCRIM	D_DISCRIM5AA	UOMOLEADER	UOMODIRIG	ISTRUOMO	MADREOCC	UCONCLAV	RINUNCLAV	MOTNOLAV	RINUNCCAMBIO	RINUNINC	RIDUZLAV	SVANTRETR	SVANTCORS1	SVANTCARIC	SVANTCARR	SVANTSTAB	SVANTVAL	SVANTAPPR1	SVANTAUTO	SVANTAPPR2	SVANTREDDI	SVANTCLI	SVANTCOLL	SVANTDIP	SVANTCRESC	SVANTFIN	S_DISCRIM	S_DOVE	S_CHICOMP	S_CHIINSEGN	S_CHIGENIT	S_CHIPRES	S_CHIBIDEL	S_SFAVOR	S_ISOLAT	S_OFFES	S_ALTRO	S_SALUTE	S_FAMIGL	S_GRAVID	S_SESSO	S_GIOVA	S_ANZIA	S_STRAN	S_RELIG	S_POLIT	S_ASPET	S_PROVEN	S_OMOSEX	S_CONOSC	S_ALTRIM	C_DISCRIM	C_NOLAV	C_MANSINF	C_RETRINF	C_LAVNERO	C_NODOM	C_ALTRO	C_PIURECENT	C_3ANNI	C_12MESI	C_SALUTE	C_FAMIGL	C_GRAVID	C_SESSO	C_GIOVA	C_ANZIA	C_STRAN	C_RELIG	C_POLIT	C_ASPET	C_PROVEN	C_OMOSEX	C_CONOSC	C_ALTRIM	L_DISCRIM	L_MANSINF	L_PROMOZ	L_DETERM	L_LICENZ	L_LICGRAV	L_QDLICGRAV	L_RIFCONG	L_CONGED	L_CAPAC	L_CARICO	L_RETRINF	L_CLIMAOST	L_ALTRO	L_MANSINF2	L_PROMOZ2	L_DETERM2	L_LICENZ2	L_LICGRAV2	L_QDLICGRAV2	L_RIFCONG2	L_CONGED2	L_CAPAC2	L_CARICO2	L_RETRINF2	L_PIURECENT	L_3ANNI	L_12MESI	L_FATTODOVE	L_SALUTE	L_FAMIGL	L_GRAVID	L_SESSO	L_GIOVA	L_GIOVAMOT	L_ANZIA	L_STRAN	L_RELIG	L_POLIT	L_ASPET	L_PROVEN	L_OMOSEX	L_CONOSC	L_ALTRIM	UMILIATA	UMIL3ANNI	UMIL12MESI	MIN	MIN3ANNI	MIN12MESI	QUANT	BAMBINI	I_NOLAV	I_NOCASA	I_INGIRO	I_MALTRAT	COMPITAL	COMPIMMI	CULTURE	TERROR	LAVORI	NOPOSTO	TOLGLAV	VOTO	PRIMAITA	ALLOGGI	I_POSSLAV	I_POSSPROM	I_POSSCASA	I_DISCRIM	I_DISCRIM5AA	VIVEREOVU	SEPARATI	QUARTIERE	ADOZIONE	ATTENZPOL	RELIGIONE	IMMITALI	ITAESTERO	NAZ_PROBL	INSERIM	INTEGRDONNE	RICONGIUNG	MOSCHEA	MOSCHEA_MOT	LUOCULTO	LUOCULTO_MOT	BURKA	UNIONIMISTE	I_MAROCCO	I_PERU	I_ALBANIA	I_USA	I_NIGER	I_ROM	I_CINA	I_ROMANIA	I_CONOSCE	I_CHICONOSC1	I_CHICONOSC2	I_CHICONOSC3	I_CHICONOSC4	I_CHICONOSC5	I_CHICONOSC6	I_CHICONOSC7	ECONOMIA	RESIDENZA	CITTADIMM	ESPUCLAND	IMMSCUO	IMMSCUOMOT	KISSETERO	KISSDONNE	KISSUOMINI	ACCETTUOMINI	ACCETTDONNE	GIUSTOMO	O_POSSLAV	O_POSSPROM	O_POSSCASA	O_DISCRIM	O_DISCRIM5AA	O_COLLEGA	O_SUPERIORE	O_MEDICO	O_AMICO	O_POLITICO	O_TEACHER	O_NOLAV	O_NOCASA	O_MALTRAT	INSULTI	IOINSULTI	O_CONOSCE	O_CHICONO1	O_CHICONO2	O_CHICONO3	O_CHICONO4	O_CHICONO5	O_CHICONO6	AMARE	MALATTIA	MATRIMONIO	PAX	IMMORALE	LESBADOZ	MINACCIA	GAYADOZ	OMERTA	DISCREZIONE	EFFEMINATI	MASCOLINITA	T_DISCRIM	T_NOLAV	T_NOCASA	T_MALTRAT	V_DROGATI	V_AIDS	V_IMMIGRATI	V_OMOSEX	V_RELIGION	V_ALCOOLISTI	V_ROM	V_TRANS	V_MAROCCO	V_PERU	V_ALBANIA	V_NIGER	V_CINA	V_ROMANIA	PRATICAREL	IMPRELIG	PENSUICIDIO	AMASTESSO	ATTRSTESSO	SEXSTESSO	CHIATTRATTO	AUTODEF	MADRESA	PADRESA	GIUDRILEV	COEFFIN	RELAZOUT	MANOPARTN	ABBRPARTN	CAREZPARTN	BACIOPARTN	CUCINA	SPESA	BUCATO	PULIZIA	CURAFIGLI	DIVISLAV	PIUGUAD	S_PERCOSS	SESSO	RELPAR	ETA	PARTNER	FIGLI	PNASC	CITT	STCIV	ISTR	POSIZ	CERCA	CONDIZ
1	2	1	1	 	2	2	1	 	4	 3	 	1	2	1	 	4	5	2	2	2	2	3	1	1	4	1	3	3	4	1	1	1	4	3	2	1	2	1	1	1	3	1	2	2	3	3	3	3	3	3	3	3	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	  	  	2	1	2	2	 	 	2	2	2	1	2	 8	2	 	1	2	 	2	2	2	 	2	 	2	2	2	2	 	2	1	2	 	 	4	 	 	1	3	4	3	4	4	2	2	1	1	1	4	1	1	1	4	3	1	2	4	3	1	1	1	1	4	3	2	2	2	2	3	1	3	 	3	 	2	2	3	3	3	3	2	1	2	2	2	 	 	 	 	 	 	 	1	1	2	1	2	 	2	2	2	4	4	 1	2	2	2	4	2	1	1	1	4	4	4	3	4	4	4	4	2	 	 	 	 	 	 	3	1	4	1	4	4	1	4	1	1	2	3	1	3	4	4	2	2	1	1	2	3	1	1	2	3	3	3	3	3	3	2	3	 	 	 	 	 	 	 	1	 7071.09952	1	3	3	3	3	 	 	 	 	 	 	 	 	2	 1	5	2	1	1	1	3	 3	1	1	6
1	1	1	1	2	1	 	 	2	 	19	 	 	 	1	 	4	2	2	3	3	2	3	3	4	4	4	1	3	1	1	4	1	2	3	4	4	4	1	4	2	 	2	3	2	 	 	 	 	 	 	 	 	3	3	3	4	4	3	3	1	2	1	 	 	 	 	 	 	3	 	2	2	 	2	2	2	 	2	2	1	2	 	2	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	  	  	2	2	2	2	 	 	 	 	2	2	2	  	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	 	1	2	 	2	3	4	4	4	4	3	3	1	4	2	4	3	1	2	3	2	2	2	2	1	1	3	3	1	4	4	2	2	1	2	1	1	3	 	3	 	2	2	2	3	2	3	3	1	3	2	1	 	 	3	 	 	 	 	1	2	1	2	2	 	1	1	1	1	1	10	2	2	1	2	3	1	1	1	1	1	1	4	4	4	1	4	1	 	2	3	4	 	 	1	4	1	1	4	1	4	1	4	4	4	4	1	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	6	4	2	 	 	 	 	 	 	 	1	 7172.66665	1	3	3	3	3	 	 	 	 	 	 	 	 	1	 1	3	2	2	1	1	1	10	6	1	1
1	1	1	1	2	1	 	 	2	 	13	 	 	 	1	 	4	2	2	2	2	2	3	3	4	4	4	2	3	1	1	3	1	2	3	4	4	4	1	2	2	 	2	3	2	 	 	 	 	 	 	 	 	3	3	3	3	4	3	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	 	3	4	 	 	3	1	1	2	 	2	2	2	2	 	2	2	2	2	 	1	1	2	 	 	 	 	 	 	 	 	 	 	 	  	  	2	2	2	2	 	 	2	2	2	2	2	  	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	1	2	 	2	1	4	4	4	4	3	3	2	3	1	4	3	1	2	4	2	2	2	1	1	1	4	1	1	4	4	2	3	1	2	1	1	1	 	1	 	2	3	1	2	1	2	2	1	2	1	1	 	 	3	4	 	6	 	2	2	1	2	2	 	1	1	1	1	1	 7	2	2	1	2	3	1	1	1	1	1	1	4	4	4	1	2	1	 	 	3	4	 	 	1	4	1	1	4	3	4	3	4	3	4	4	1	3	4	4	1	3	3	3	3	1	1	3	3	3	1	3	3	3	6	4	2	 	 	 	 	 	 	 	1	 6734.80760	2	 	 	 	 	 	 	 	 	 	 	 	 	1	 1	2	2	2	1	1	1	 8	5	1	1
1	2	1	1	2	1	 	 	2	 	19	 	 	 	1	 	4	2	2	2	1	3	2	3	2	2	4	4	4	4	2	2	2	4	3	4	4	4	4	4	1	8	2	4	2	 	 	 	 	 	 	 	 	3	3	3	3	3	3	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	 	 	 	 	 	 	2	 	1	 	2	2	2	2	 	2	2	2	2	 	1	1	1	 	2	 	 	 	 	 	 	 	 	 	  	  	1	 	2	2	 	 	 	 	1	2	1	 2	1	2	1	2	 	2	2	2	 	2	 	2	2	2	2	 	2	2	2	 	 	4	 	 	1	3	4	4	4	4	3	3	2	2	2	3	4	4	1	1	2	2	2	2	1	4	3	1	1	2	1	2	1	1	2	3	9	2	5	3	 	2	4	1	3	1	3	3	1	1	1	1	 	 	3	4	 	 	 	2	2	2	1	2	 	1	1	1	1	1	10	2	2	2	2	3	1	1	1	1	4	4	4	4	4	1	1	1	 	 	 	4	 	 	2	4	4	1	4	4	2	4	4	1	4	4	2	4	4	4	1	1	3	3	3	1	1	3	3	2	3	2	1	1	5	2	3	 	 	 	 	 	 	 	1	 7393.14093	 	1	1	2	2	2	5	1	5	7	1	1	 	1	 1	2	1	2	1	1	1	 5	5	1	1
1	1	1	1	2	1	 	 	 	3	 3	 	1	2	1	 	4	5	2	2	3	3	3	3	4	4	4	3	4	2	1	3	3	2	3	2	2	4	2	3	2	 	2	3	2	3	3	3	3	3	3	3	3	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	  	  	2	2	2	2	 	 	 	 	2	1	2	  	1	1	1	2	 	2	2	2	 	2	 	2	2	2	2	 	2	3	2	 	 	4	 	 	1	3	4	3	4	4	3	3	3	3	2	2	2	4	1	1	2	2	2	2	3	3	3	2	2	3	3	2	2	1	1	1	1	2	3	3	 	2	3	1	2	1	3	2	1	2	1	1	 	 	3	 	 	 	 	2	2	1	1	1	1	1	1	1	2	2	 5	2	2	1	2	3	1	2	1	2	3	3	3	3	4	1	2	3	 	 	 	 	 	 	2	4	4	1	4	4	3	4	4	2	3	3	2	3	4	4	1	3	3	3	3	1	1	3	1	3	1	3	3	1	5	3	3	 	 	 	 	 	 	 	1	14057.07022	1	1	2	2	2	 	 	 	 	 	 	 	 	1	 1	1	2	2	1	1	1	 5	1	1	1
1	2	1	1	1	2	2	1	 	4	 3	 	1	2	1	 	4	5	2	2	2	3	2	1	1	3	3	1	2	1	1	2	1	4	3	3	2	3	3	1	2	 	2	4	2	3	3	3	3	3	3	3	3	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	  	  	2	2	2	2	 	 	2	2	2	2	2	  	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	4	 	 	1	2	4	4	4	4	3	2	1	1	4	3	2	1	3	2	2	1	2	2	2	1	3	2	1	3	3	2	2	1	2	2	1	1	 	1	 	2	4	3	3	3	3	3	1	3	3	2	 	 	 	 	 	 	 	1	1	1	2	2	 	2	2	2	4	4	 1	2	2	2	4	2	4	4	4	4	2	4	1	2	4	1	4	2	 	 	 	 	 	 	4	1	1	2	3	4	3	4	1	4	3	3	3	1	1	4	1	1	2	3	2	1	1	1	3	2	3	3	3	3	 	 	 	 	 	 	 	 	 	 	 	 4003.24608	 	2	2	3	3	1	5	1	2	7	1	1	 	1	 1	5	1	2	1	1	2	 3	1	1	6
1	2	1	1	1	1	 	 	 	2	17	2	1	2	1	 	3	5	2	2	2	2	3	3	3	4	4	3	2	3	1	2	1	2	2	4	4	4	4	3	1	4	2	4	2	3	3	3	3	3	3	3	3	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	  	  	2	2	2	2	 	 	2	2	2	2	2	  	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	 	4	 	 	1	2	4	3	4	4	2	2	2	3	4	3	1	3	1	1	2	1	1	2	3	3	3	2	1	1	3	2	2	1	2	2	2	3	 	3	 	2	4	1	1	1	2	1	1	1	1	1	 	 	3	 	 	 	 	3	4	2	1	2	 	1	1	1	1	1	10	1	1	1	3	2	1	1	1	1	1	1	4	4	4	3	3	1	 	 	3	 	 	 	1	4	1	1	4	1	4	1	4	4	3	3	1	4	4	4	3	2	3	3	2	3	1	2	3	3	3	3	3	3	5	3	3	 	 	 	 	 	 	 	1	 6879.59781	 	1	1	2	2	3	5	3	3	7	2	1	 	2	 2	3	1	2	1	1	2	 5	1	1	1
1	2	1	1	2	1	 	 	 	3	17	1	1	2	1	 	4	1	2	2	2	2	2	3	4	4	4	1	3	1	4	4	2	1	2	4	4	4	3	2	2	 	2	4	2	3	2	1	1	3	1	3	3	 	 	 	 	 	 	 	1	1	1	 	 	 	 	 	 	3	 	2	2	 	1	2	 	 	2	 	1	2	 	2	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	2	 	 	 	 	 	 	 	 	 	10	  	 	 	2	2	 	 	 	 	1	1	2	10	1	1	1	2	 	2	2	2	 	2	 	2	2	1	2	 	2	1	1	1	1	2	2	 	1	2	3	1	4	4	3	4	4	1	3	1	1	4	1	1	2	2	1	2	2	1	1	1	2	1	1	1	3	1	1	3	2	2	5	1	 	2	5	1	3	1	3	3	1	3	1	2	 	 	 	 	 	 	 	3	4	2	1	1	3	1	1	1	1	1	10	2	2	2	1	3	2	1	1	1	1	1	4	4	4	1	4	1	 	 	3	 	 	 	1	4	1	1	4	4	4	2	2	1	4	4	1	4	4	4	1	1	1	3	3	1	1	3	1	2	1	1	2	1	6	2	1	 	 	 	 	 	 	 	1	 9415.73791	 	3	3	3	3	3	3	3	3	7	1	2	 	2	 2	3	1	2	1	1	1	 5	1	1	1
1	2	1	1	 	1	 	 	 	3	11	 	1	2	1	 	2	5	1	3	2	2	3	3	3	4	4	3	3	3	1	3	1	2	3	3	3	4	1	1	2	 	2	4	1	3	3	3	3	3	3	3	3	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	  	  	2	2	2	2	 	 	2	2	2	1	2	  	2	 	1	2	 	2	2	1	3	 	 	2	2	2	2	 	2	1	2	 	 	4	 	 	1	3	4	3	4	4	3	2	2	2	1	3	4	1	2	2	2	2	2	1	1	1	3	2	2	2	4	2	3	1	2	2	1	3	 	3	 	2	2	3	3	3	3	3	2	3	3	1	 	 	 	4	5	 	 	2	2	1	1	2	 	1	1	1	1	1	10	2	2	2	1	3	1	1	1	1	1	1	4	4	4	1	1	1	 	 	 	 	 	6	1	4	1	1	4	3	3	4	4	2	2	2	1	4	4	4	1	2	3	2	2	1	1	2	3	3	3	3	3	3	6	3	3	 	 	 	 	 	 	 	1	12474.87935	1	1	1	2	2	 	 	 	 	 	 	 	 	2	 1	1	2	1	1	1	1	 5	1	1	1
1	3	1	1	2	1	 	 	 	3	 3	 	1	2	1	 	4	1	2	2	2	2	1	1	3	3	4	3	2	2	2	4	2	3	3	4	4	4	2	1	2	 	2	4	2	3	3	3	3	3	3	3	3	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	  	  	2	2	2	2	 	 	 	 	2	2	2	  	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	4	 	 	1	2	3	1	3	3	3	3	2	1	3	3	2	3	1	1	1	1	2	2	1	2	4	1	2	1	3	2	2	1	2	3	1	2	4	2	4	2	3	2	2	2	2	2	1	2	2	1	 	2	 	4	 	 	 	2	2	2	1	2	 	1	2	2	4	4	 1	1	1	1	1	3	1	3	4	4	3	3	3	3	3	1	1	2	 	 	 	 	 	 	3	2	4	4	2	4	4	4	4	2	2	2	4	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	3	3	 	 	 	 	 	 	 	1	11230.31528	1	1	2	2	1	 	 	 	 	 	 	 	 	1	 6	1	2	2	1	1	1	 5	1	1	1
1	1	1	1	2	1	 	 	 	3	19	 	1	2	1	 	4	2	2	3	3	3	2	3	4	4	4	1	4	1	1	4	4	2	3	4	2	4	4	4	1	9	1	1	2	3	3	3	3	3	3	3	3	 	 	 	 	 	 	 	1	1	 	2	 	 	 	 	 	3	 	1	2	 	2	2	 	 	2	 	2	2	 	2	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	  	  	2	2	2	2	 	 	 	 	2	1	1	 9	1	1	1	2	 	2	2	1	2	 	 	2	2	2	1	 	2	1	1	1	1	4	 	 	2	2	4	3	4	4	3	3	2	1	4	4	3	4	1	1	2	1	2	2	1	1	4	4	1	3	1	2	3	1	2	2	1	1	 	1	 	2	3	3	3	3	2	3	1	3	3	1	 	 	 	4	 	 	 	3	1	1	1	1	1	1	1	1	1	1	10	2	2	2	1	3	1	1	1	1	1	1	4	4	4	1	2	1	 	 	3	4	5	 	1	4	1	1	4	3	4	3	4	4	2	2	1	4	4	4	3	2	3	3	3	3	1	3	3	3	3	3	3	3	5	3	3	 	 	 	 	 	 	 	1	 7296.52118	2	 	 	 	 	 	 	 	 	 	 	 	 	1	 1	2	2	2	1	1	1	 5	1	1	1
1	3	1	1	 	2	2	1	 	 	20	 	 	 	1	 	4	5	3	3	3	2	2	3	4	3	4	2	2	1	1	1	1	2	2	4	2	4	1	1	2	 	2	4	2	2	1	3	3	3	3	3	3	 	 	 	 	 	 	 	1	1	 	2	 	 	 	1	 	 	 	2	2	 	2	2	 	 	2	 	2	1	 	2	1	1	 	 	 	4	 	 	 	2	 	2	 	2	2	2	1	 	2	2	2	2	 	2	1	2	 	 	 	 	 	 	 	 	 	 	 	  	  	2	1	2	2	 	 	2	2	2	1	1	 9	1	1	1	2	 	2	2	2	 	1	 	2	2	2	2	 	2	1	1	1	1	4	 	 	1	2	4	2	4	4	1	2	2	2	1	2	4	2	1	4	2	2	2	4	1	1	1	1	1	2	4	2	2	1	2	2	1	3	 	3	 	2	2	2	2	1	2	2	1	2	2	1	 	 	 	 	5	 	 	2	1	1	1	2	 	1	2	2	3	3	 1	1	1	2	2	1	1	1	1	1	1	1	4	4	4	1	4	1	 	 	 	 	5	 	2	4	2	1	3	4	4	4	4	1	3	3	4	4	4	4	3	3	3	2	3	1	3	3	2	3	3	3	3	3	3	2	3	 	 	 	 	 	 	 	1	 6680.28858	2	 	 	 	 	 	 	 	 	 	 	 	 	2	 1	5	2	1	1	1	3	 3	2	1	4
1	2	1	1	2	1	 	 	 	4	17	1	1	2	1	 	1	2	2	2	2	2	1	3	3	3	3	2	1	2	1	1	1	1	2	2	2	3	2	1	1	6	2	1	1	3	3	2	3	3	3	3	3	 	 	 	 	 	 	 	1	2	 	2	 	 	 	1	 	 	4	2	2	 	2	2	2	 	2	2	2	2	 	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	  	  	2	2	2	2	 	 	 	 	2	1	2	  	2	 	1	2	 	2	2	1	3	 	 	2	2	2	2	 	2	1	2	 	 	4	 	 	1	3	4	2	2	2	1	3	2	2	1	3	3	3	2	2	2	2	2	2	2	2	3	2	1	3	3	1	3	1	2	1	1	1	 	1	 	1	3	2	2	2	3	2	1	2	1	1	 	 	3	4	 	6	 	1	1	1	2	2	 	1	2	1	2	2	 7	2	2	2	2	2	1	1	1	1	1	1	2	3	3	1	4	1	 	 	3	 	 	 	2	4	2	1	2	4	1	4	4	1	1	1	1	3	3	3	3	2	3	3	2	3	1	3	3	2	3	2	3	1	3	1	3	 	 	 	 	 	 	 	1	 6043.51903	 	2	2	3	3	3	3	3	3	7	1	1	 	2	 2	4	1	2	1	1	2	 5	1	1	1
1	3	2	2	 	1	 	 	 	4	17	1	1	2	1	 	1	2	2	3	2	1	3	1	1	4	3	1	1	2	1	1	1	4	3	3	4	4	1	1	1	7	2	1	2	3	3	3	3	3	3	3	3	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	 	 	 	 	 	 	1	2	2	 	2	2	2	2	1	2	2	2	2	 	2	1	1	1	 	 	 	 	 	 	 	 	 	 	  	  	 	2	1	1	2	 	2	2	1	1	2	 4	1	2	2	2	 	2	2	2	 	2	1	2	2	2	2	 	2	1	1	1	1	3	1	1	1	1	3	4	4	4	2	2	2	1	1	4	4	1	3	4	2	2	2	2	1	1	4	4	1	4	3	4	2	1	2	1	1	2	5	1	 	2	3	1	3	1	3	2	1	1	1	1	1	 	3	4	 	 	 	1	2	1	2	2	 	1	2	2	4	4	 1	1	1	1	3	2	1	4	2	1	4	4	4	4	4	2	4	1	 	 	 	 	 	6	4	1	4	4	1	4	1	4	4	2	1	1	4	2	4	4	1	1	2	3	3	1	1	3	3	2	3	3	3	3	4	1	3	 	 	 	 	 	 	 	1	 8441.27030	1	3	3	3	3	 	 	 	 	 	 	 	 	2	 1	3	2	1	2	2	3	10	1	1	1
1	4	1	1	 	2	2	1	 	4	19	 	1	1	2	2	2	5	3	3	2	1	3	3	2	1	4	4	1	4	2	4	2	3	3	4	1	4	2	1	2	 	2	2	2	3	4	3	3	3	3	3	3	 	 	 	 	 	 	 	1	1	1	2	 	 	 	 	 	 	 	2	1	 	2	2	 	 	2	 	2	2	 	2	1	1	 	 	 	 	 	6	 	1	1	2	 	2	2	2	2	 	2	2	1	2	 	1	1	2	 	 	 	 	 	 	 	 	 	 	 	  	  	2	1	1	2	 	 	2	2	2	2	1	 3	1	1	1	2	 	2	2	2	 	2	 	2	2	2	2	 	2	3	1	1	2	3	1	2	1	2	2	1	3	3	3	4	4	2	4	2	2	3	1	2	3	3	1	4	2	1	2	2	1	2	3	2	2	1	1	2	1	1	 	1	 	2	1	2	2	1	3	1	1	2	1	1	 	 	 	 	5	 	 	3	4	1	2	2	 	2	2	2	3	3	 1	1	1	1	2	1	2	2	2	1	4	4	4	4	4	1	4	1	 	 	 	4	 	 	1	2	3	1	3	4	1	4	3	2	2	2	1	4	4	4	1	1	1	3	3	1	1	1	1	1	1	1	3	1	3	2	3	 	 	 	 	 	 	 	2	 4336.44046	 	2	2	2	3	5	5	3	5	5	1	2	5	2	 1	2	1	1	1	1	2	 4	1	1	2
1	4	1	1	 	1	 	 	 	3	 6	 	1	2	1	 	4	2	2	3	2	3	3	3	2	4	4	4	1	4	1	4	1	2	2	3	3	4	2	3	2	 	2	4	2	3	2	3	3	3	3	3	3	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	  	  	2	2	2	2	 	 	2	2	2	2	1	  	2	 	2	2	 	2	2	1	2	 	 	2	2	2	2	 	2	1	2	 	 	1	2	 	1	2	3	3	4	4	3	3	3	2	2	3	3	4	1	1	2	2	2	2	1	3	3	1	3	1	3	1	3	1	1	2	2	2	3	2	3	2	3	2	2	2	2	2	1	1	2	1	 	 	3	 	 	 	 	2	3	2	1	2	 	1	1	1	1	1	 5	2	2	2	2	2	2	2	2	2	2	2	3	3	4	1	2	1	1	 	 	 	 	 	1	3	2	1	4	3	3	3	3	2	3	2	1	3	3	4	1	3	3	3	3	1	1	3	1	3	3	3	1	3	5	2	3	 	 	 	 	 	 	 	1	 7558.84299	 	1	1	2	2	2	5	1	5	5	1	1	 	1	 1	2	1	1	1	1	2	 5	1	1	1
1	3	1	1	 	2	2	1	 	4	 3	 	2	2	2	1	2	2	2	2	3	3	3	2	2	2	4	2	3	2	2	4	1	3	3	4	3	4	3	2	1	4	2	1	2	2	4	2	3	3	3	3	2	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	  	  	2	2	2	2	 	 	2	2	2	2	2	  	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	4	 	 	1	3	3	3	4	3	4	3	3	2	2	3	3	4	2	2	1	1	1	2	3	2	3	2	3	2	1	2	2	1	2	2	2	2	3	2	4	2	4	1	1	1	2	1	1	1	1	1	 	 	 	 	5	 	 	2	3	2	1	2	 	1	2	2	4	4	 1	1	1	1	2	3	2	2	2	4	3	4	3	3	4	3	4	3	 	 	 	 	 	 	4	1	4	3	2	4	2	4	2	2	2	2	2	2	3	4	1	1	1	3	3	1	1	3	1	3	1	1	3	1	5	2	3	 	 	 	 	 	 	 	1	 5272.69599	 	2	3	3	3	4	4	3	3	7	1	2	 	2	 2	3	1	1	1	1	2	 3	1	1	4
